Category,Model,Model Year,Manufacturer,Fuel,All Electric Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes
Sedan/Wagon,500e,2016,Fiat,,,122,108,115,,,,Auto,,e-motor,83kW electric motor 24 kWh battery,,,,
Sedan/Wagon,Focus,2016,Ford,,,110,99,105,,,,Auto,,,107 kW electric motor 23 kWh battery,,,,
Sedan/Wagon,B250e,2016,Mercedes-Benz,,,85,82,84,,,,Auto,,,132 kW electric motor 28 kWh battery,,,,
Sedan/Wagon,i-MiEV,2016,Mitsubishi,,,126,99,113,,,,Auto,,,,,,,
Sedan/Wagon,Leaf,2016,Nissan,,,126,101,114,,,,Auto,,SI,80 kW electric motor 24 kWh battery,,,,
Sedan/Wagon,fortwo,2016,Smart,,,122,93,108,,,,Auto,,SI,55 kW electric motor 17.6 kWh battery,,,,
Sedan/Wagon,Model S,2016,Tesla,,,88,90,89,,,,Auto,,e-motor,285 kW electric motor 70 kWh battery,,,,
Sedan/Wagon,Model S AWD,2016,Tesla,,,95,106,101,,,,Auto,,e-motor,350/285 kW electric motor 90 kWh battery,,,,
SUV,Model X AWD 90D,2016,Tesla,,,90,94,92,,,,Auto,,e-motor,193/193 kW electric motor 90 kWh battery,,,,
SUV,Model X AWD P90D,2016,Tesla,,,89,90,90,,,,Auto,,e-motor,193/375 kW electric motor 90 kWh battery,,,,
Sedan/Wagon,e-Golf,2016,Volkswagen,,,126,105,116,,,,Auto,,SI,85 kW electric motor 24.2 kWh battery,,,,
Sedan/Wagon,i3,2015,BMW,Electric,,137,111,124,,,,Auto,,e-motor,"125 kW electric motor, 21 kWh battery",,,,
Sedan/Wagon,Spark,2015,Chevrolet,plug-in Hybrid Electric,,128,109,119,,,,Auto,,SI,"104 kW electric motor, 20 kWh battery",,,,
Sedan/Wagon,500e,2015,Fiat,,,122,108,115,,,,Auto,,e-motor,"83kW electric motor, 24 kWh battery",,,,
Sedan/Wagon,Focus,2015,Ford,,,110,99,105,,,,Auto,,,"107 kW electric motor, 23 kWh battery",,,,
Sedan/Wagon,Soul,2015,Kia,,,120,92,106,,,,Auto,,e-motor,"50 kW electric motor, 16.4 kWh battery",,,,
Sedan/Wagon,B-Class Electric,2015,Mercedes-Benz,,,85,83,84,,,,Auto,,,"132 kW electric motor, 28 kWh battery",,,,
Sedan/Wagon,i-MiEV,2015,Mitsubishi,,,126,99,113,,,,Auto,,,,,,,
Sedan/Wagon,Leaf,2015,Nissan,,,126,101,114,,,,Auto,,e-motor,"80 kW electric motor, 24 kWh battery",,,,
Sedan/Wagon,fortwo,2015,Smart,,,122,93,108,,,,Auto,,e-motor,"55 kW electric motor, 17.6 kWh battery",,,,
Sedan/Wagon,Model S,2015,Tesla,,,94,97,96,,,,Auto,,e-motor,"300 kW electric motor, 60 kWh battery",,,,
Sedan/Wagon,e-Golf,2015,Volkswagen,,,,,,,,,Auto,,e-motor,"85 kW electric motor, 24.2 kWh battery",,,,
Sedan/Wagon,i3,2014,BMW,Electric,,,,,,,,Auto,,e-motor,125 kW electric motor,,,,
Sedan/Wagon,Spark,2014,Chevrolet,plug-in Hybrid Electric,,128,109,119,,,,Auto,,SI,104 kW electric motor,,,,
Sedan/Wagon,500e,2014,Fiat,,,122,108,115,,,,Auto,,,83kW electric motor,,,,
Sedan/Wagon,Focus,2014,Ford,,,110,99,105,,,,Auto,,,107 kW electric motor,,,,
Sedan/Wagon,Fit,2014,Honda,,,132,105,119,,,,Auto,,,92 kW electric motor,,,,
Sedan/Wagon,Soul,2014,Kia,,,,,,,,,Auto,,,50 kW electric motor,,,,
Sedan/Wagon,B-Class Electric,2014,Mercedes-Benz,,,,,,,,,Auto,,,100 kW electric motor,,,,
Sedan/Wagon,i-MiEV,2014,Mitsubishi,,,126,99,113,,,,Auto,,,,,,,
Sedan/Wagon,Leaf,2014,Nissan,,,,,,,,,Auto,,,80 kW electric motor,,,,
Sedan/Wagon,iQ EV,2014,Scion,,,138,105,122,,,,Auto,,,47 kW electric motor,,,,
Sedan/Wagon,fortwo,2014,Smart,,,122,93,108,,,,Auto,,,55 kW electric motor,,,,
Sedan/Wagon,Model S,2014,Tesla,,,94,97,96,,,,Auto,,e-motor,300 kW electric motor,,,,
SUV,RAV 4 EV,2014,Toyota,,,78,74,76,,,,Auto,,,115 kW electric motor,,,,
Sedan/Wagon,CODA,2013,Coda Automotive,,,77,68,73,,,,,,Electric,100 kW e-motor,,,,
Sedan/Wagon,500e,2013,Fiat,,,116,100,108,,,,Auto,,,100 kW e-motor,,,,
Sedan/Wagon,Focus,2013,Ford,,,110,99,105,,,,Auto,,,107 kW e-motor,,,,
Sedan/Wagon,FIT EV,2013,Honda,,,132,105,119,,,,,,,92 kW e-motor,,,,
Sedan/Wagon,i-MiEV,2013,Mitsubishi,,,126,99,113,,,,,,,,,,,
Sedan/Wagon,Leaf,2013,Nissan,,,106,92,99,,,,,,,80 kW e-motor,,,,
Sedan/Wagon,iQ EV,2013,Scion,,,138,105,122,,,,Auto,,,47 kW e-motor,,,,
Sedan/Wagon,ForTwo,2013,Smart,,,112,88,100,,,,,,,55 kW e-motor,,,,
Sedan/Wagon,Model S,2013,Tesla,,,88,90,89,,,,Auto,,e-motor,300 kW e-motor,,,,
SUV,RAV 4 EV,2013,Toyota,,,78,74,76,,,,Auto,,,115 kW e-motor,,,,
Sedan/Wagon,CODA,2012,Coda Automotive,,,77,68,73,,,,Automatic,,,100kW e-motor,,,,
Sedan/Wagon,Focus EV,2012,Ford,,,,,,,,,,,105 kW e-motor,,,,,
Van,Ford Azure Transit Connect,2012,Ford,,,62,62,62,,,,,,52 kW e-motor,,,,,
Sedan/Wagon,Fit EV,2012,Honda,,,,,,,,,3 mode / 1 speed,,,,,,,
Sedan/Wagon,Mitusbishi i,2012,Mitsubishi,,,126,99,113,,,,,,,,,,,
Sedan/Wagon,Leaf,2012,Nissan,,,106,92,99,,,,Automatic / 1 speed,,80 kW e-motor,,,,,
Sedan/Wagon,Model S,2012,Tesla Motors,,,88,90,89,,,,Auto,,e-motor,,,,,
SUV,RAV4 EV,2012,Toyota,,,,,,,,,,,,,,,,
Sedan/Wagon,LiFe,2012,"Wheego Electric Cars, Inc.",,,,,,,,,,,15 kW e-motor,,,,,
Van,Ford  Azure Transit Connect,2011,Ford,,,62,,,,,,,,52 kW e-motor,,,,,
Sedan/Wagon,Leaf,2011,Nissan,,,,,,,,,None,,,,,,,
Sedan/Wagon,LEAF,2011,Nissan,,,,,,,,,None,,AC electric motor,,,,,
Sedan/Wagon,Roadster 2.5,2011,Tesla Motors,,,,,,,,,,,,,,,,
Sedan/Wagon,Roadster,2010,Tesla Motors,,,,,,,,,,,,,,,,
Sedan/Wagon,Roadster 2.5,2009,Tesla Motors,,,,,,,,,,,,,,,,
Van,Citivan,2004,Solectria,,,800,800,800,,,,Single-speed automatic,,110kW Solectria AC Induction Direct-Drive,,,,,
Sedan/Wagon,TH!NK City,2003,Ford,,,,,,,,,,,Three-phase AC induction,,,,,
Sedan/Wagon,Altra EV,2003,Nissan,,,26,29,28,,,,transaxle w/2-stage gear set,,Permanent Magnet Synchronous Motor,,,,,
Sedan/Wagon,Hypermini,2003,Nissan,,,,,,,,,,,Neodymium Magnet AC Synchronous,,,,,
Van,Citivan,2003,Solectria,,,800,800,800,,,,Single-speed automatic,,110kW Solectria AC Induction Direct-Drive,,,,,
SUV,RAV4-EV,2003,Toyota,,,27,34,31,,,,Single speed,,Permanent-Magnet 50 kW DC,,,,,
Truck,Ranger EV(Lead Acid),2002,Ford,,,38,44,41,,,,single-speed,,"High Efficiency, liquid cooled, 3-phase 67 kW AC induction",,,,,
Sedan/Wagon,Th!NK City,2002,Ford,,,,,,,,,,,Three-phase AC induction,,,,,
Sedan/Wagon,Altra EV,2002,Nissan,,,26,29,28,,,,transaxle w/2-stage gear set,,Permanent Magnet Synchronous Motor,,,,,
Sedan/Wagon,Hypermini,2002,Nissan,,,,,,,,,,,Neodymium Magnet AC Synchronous,,,,,
Van,Citivan,2002,Solectria,,,,,,,,,Type Single-speed automatic,,70kW Solectria AC Induction Direct-Drive,,,,,
