Vehicle Category,Model Name,Model Year,Manufacturer,Fuel Type,All Electric Range,Alt Fuel Economy City,Alt Fuel Economy Highway,Alt Fuel Economy Combined,Conv Fuel Economy City,Conv Fuel Economy Highway,Conv Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count
Sedan/Wagon,Panamera Turbo S e-Hybrid Executive,2020,Porsche,Plug-in Hybrid Electric,14.0,,,48.0,19.0,22.0,20.0,Auto,SI,4.0L,8.0
Sedan/Wagon,Panamera Turbo S e-Hybrid ST,2020,Porsche,Plug-in Hybrid Electric,14.0,,,48.0,19.0,22.0,20.0,Auto,SI,4.0L,8.0
Sedan/Wagon,Taycan Turbo,2020,Porsche,Electric,201.0,68.0,69.0,71.0,,,,Auto,e-motor,170 kW electric motor,
Sedan/Wagon,Taycan Turbo S,2020,Porsche,Electric,192.0,67.0,68.0,68.0,,,,Auto,e-motor,170 kW electric motor,
SUV,Crosstrek Hybrid AWD,2020,Subaru,Plug-in Hybrid Electric,17.0,,,90.0,36.0,35.0,35.0,Auto,,2.0L,4.0
Sedan/Wagon,Model 3 Long Range,2020,Tesla,Electric,330.0,136.0,123.0,130.0,,,,Auto,e-motor,211 kW electric motor,
Sedan/Wagon,Model 3 Long Range AWD,2020,Tesla,Electric,322.0,124.0,116.0,121.0,,,,Auto,e-motor,147 kW and 188 kW electric motor,
Sedan/Wagon,"Model 3 Long Range Performance AWD (18"" Wheels)",2020,Tesla,Electric,322.0,124.0,116.0,121.0,,,,Auto,e-motor,147 kW and 188 kW electric motor,
Sedan/Wagon,Model 3 Mid Range,2020,Tesla,Electric,264.0,128.0,117.0,123.0,,,,Auto,e-motor,211 kW electric motor,
Sedan/Wagon,Model 3 Standard Range,2020,Tesla,Electric,220.0,138.0,124.0,133.0,,,,Auto,e-motor,211 kW electric motor,
Sedan/Wagon,Model 3 Standard Range Plus,2020,Tesla,Electric,250.0,148.0,141.0,132.0,,,,Auto,e-motor,211 kW electric motor,
Sedan/Wagon,Model S Long Range,2020,Tesla,Electric,373.0,115.0,107.0,111.0,,,,Auto,e-motor,193 kW and 205 kW electric motor,
Sedan/Wagon,"Model S Performance (19"" Wheels)",2020,Tesla,Electric,348.0,104.0,104.0,104.0,,,,Auto,e-motor,193 kW and 205 kW electric motor,
Sedan/Wagon,Model S Standard Range,2020,Tesla,Electric,287.0,113.0,105.0,109.0,,,,Auto,e-motor,193 kW and 205 kW electric motor,
SUV,Model X Long Range,2020,Tesla,Electric,328.0,99.0,93.0,96.0,,,,Auto,e-motor,193 and 205 kW electric motor,
SUV,"Model X Performance (20"" Wheels)",2020,Tesla,Electric,305.0,90.0,89.0,90.0,,,,Auto,e-motor,205 and 375 kW electric motors,
SUV,Model X Standard Range,2020,Tesla,Electric,258.0,105.0,98.0,101.0,,,,Auto,e-motor,193 and 205 kW electric motor,
Sedan/Wagon,Prius Prime,2020,Toyota,Plug-in Hybrid Electric,25.0,,,133.0,55.0,53.0,54.0,Auto,,1.8L,4.0
Sedan/Wagon,e-Golf,2020,Volkswagen,Electric,123.0,122.0,104.0,113.0,,,,Auto,e-motor,100 kW electric motor,
SUV,S60 AWD,2020,Volvo,Plug-in Hybrid Electric,22.0,,,69.0,28.0,33.0,30.0,Auto,SI,2.0L,4.0
Sedan/Wagon,S90 AWD,2020,Volvo,Plug-in Hybrid Electric,21.0,,,60.0,28.0,31.0,30.0,Auto,SI,2.0L,4.0
SUV,V60 AWD,2020,Volvo,Plug-in Hybrid Electric,22.0,,,69.0,28.0,33.0,30.0,Auto,SI,2.0L,4.0
SUV,XC60 AWD,2020,Volvo,Plug-in Hybrid Electric,19.0,,,57.0,26.0,28.0,27.0,Auto,SI,2.0L,4.0
SUV,XC90 AWD,2020,Volvo,Plug-in Hybrid Electric,18.0,,,55.0,26.0,28.0,27.0,Auto,SI,2.0L,4.0
SUV,e-tron,2019,Audi,Electric,204.0,73.0,74.0,74.0,,,,Auto,e-motor,141 kW and 172 kW electric motor,
Sedan/Wagon,530e,2019,BMW,Plug-in Hybrid Electric,16.0,,,72.0,27.0,30.0,29.0,Auto,SI,2.0L,4.0
Sedan/Wagon,530e xDrive,2019,BMW,Plug-in Hybrid Electric,15.0,,,67.0,27.0,31.0,28.0,Auto,SI,2.0L,4.0
Sedan/Wagon,740e xDrive,2019,BMW,Plug-in Hybrid Electric,14.0,,,64.0,25.0,29.0,27.0,Auto,SI,2.0L,4.0
Sedan/Wagon,i3,2019,BMW,Electric,153.0,124.0,102.0,113.0,,,,Auto,e-motor,135 kW electric motor,
Sedan/Wagon,i3s,2019,BMW,Electric,153.0,124.0,102.0,113.0,,,,Auto,e-motor,135 kW electric motor,
Sedan/Wagon,i3s with Range Extender,2019,BMW,Electric,126.0,,,110.0,30.0,31.0,31.0,Auto,e-motor,135 kW,
Sedan/Wagon,i3 with Range Extender,2019,BMW,Electric,126.0,,,100.0,30.0,31.0,31.0,Auto,e-motor,125 kW,
Sedan/Wagon,i8 Coupe,2019,BMW,Plug-in Hybrid Electric,18.0,,,69.0,26.0,29.0,26.0,Auto,SI,1.5L,3.0
Sedan/Wagon,i8 Roadster,2019,BMW,Plug-in Hybrid Electric,18.0,,,69.0,26.0,29.0,26.0,Auto,SI,1.5L,3.0
Sedan/Wagon,e6,2019,BYD Motors,Electric,187.0,73.0,71.0,72.0,,,,Auto,e-motor,75 kW electric motor,
Sedan/Wagon,Bolt EV,2019,Chevrolet,Electric,238.0,128.0,110.0,119.0,,,,,e-motor,150 kW electric motor,
Sedan/Wagon,Volt,2019,Chevrolet,Plug-in Hybrid Electric,53.0,,,110.0,43.0,42.0,42.0,Auto,SI,1.5L,4.0
Van,Pacifica Hybrid,2019,Chrysler,Plug-in Hybrid Electric,32.0,,,82.0,29.0,30.0,30.0,Auto,SI,3.6L,6.0
Sedan/Wagon,500e,2019,Fiat,Electric,84.0,121.0,103.0,112.0,,,,Auto,e-motor,82 kW electric motor,
Pickup,F-150,2019,Ford,Plug-in Hybrid Electric,,,,,,,,Auto,SI,"2.7L, 3.3L",6.0
Sedan/Wagon,Fusion Energi Plug in Hybrid FWD,2019,Ford,Plug-in Hybrid Electric,26.0,,,103.0,43.0,40.0,42.0,Auto,SI,2.0L,4.0
Sedan/Wagon,Fusion Special Service Vehicle PHEV,2019,Ford,Plug-in Hybrid Electric,26.0,,,102.0,43.0,40.0,42.0,Auto,SI,2.0L,4.0
Pickup,Super Duty F-250 2WD/4WD,2019,Ford,Plug-in Hybrid Electric,,,,,,,,Auto,SI,6.2L,8.0
Van,Transit Van/Wagon,2019,Ford,Electric,60.0,,,,,,,Auto,e-motor,160 kW electric motor,
Van,Transit Van/Wagon,2019,Ford,Electric,120.0,,,,,,,Auto,e-motor,160 kW electric motor,
Sedan/Wagon,Clarity,2019,Honda,Electric,89.0,126.0,103.0,114.0,,,,Auto,e-motor,120 kW electric motor,
Sedan/Wagon,Clarity PHEV,2019,Honda,Plug-in Hybrid Electric,48.0,,,110.0,44.0,40.0,42.0,Auto,SI,1.5L,4.0
Sedan/Wagon,Ioniq Electric,2019,Hyundai,Electric,124.0,150.0,122.0,136.0,,,,Auto,e-motor,88 kW electric motor,
Sedan/Wagon,Ioniq Plug-in Hybrid,2019,Hyundai,Plug-in Hybrid Electric,29.0,,,119.0,53.0,52.0,52.0,Auto,SI,1.6L,4.0
SUV,Kona Electric,2019,Hyundai,Electric,258.0,132.0,108.0,120.0,,,,Auto,e-motor,150 kW electric motor,
SUV,I-PACE,2019,Jaguar,Electric,239.0,80.0,72.0,76.0,,,,Auto,e-motor,147 kW electric motor,
Sedan/Wagon,Revero,2019,Karma,Plug-in Hybrid Electric,37.0,60.0,,,19.0,21.0,20.0,Auto,SI,2.0L,4.0
Sedan/Wagon,Niro Electric,2019,Kia,Electric,239.0,123.0,102.0,112.0,,,,Auto,e-motor,150 kW electric motor,
Sedan/Wagon,Niro Plug-in Hybrid,2019,Kia,Plug-in Hybrid Electric,26.0,,,105.0,48.0,44.0,46.0,Auto,SI,1.6L,4.0
Sedan/Wagon,Optima Plug-In Hybrid,2019,Kia,Plug-in Hybrid Electric,29.0,,,103.0,38.0,43.0,40.0,Auto,SI,2.0L,4.0
Sedan/Wagon,Soul,2019,Kia,Electric,111.0,124.0,93.0,108.0,,,,Auto,e-motor,81 kW electric motor,
